Stock,Symbol,Shares Held
Huntington ingalls industries inc,HII,117800.0
Grupo aero sureste sa ads,ASR,105983.0
Fti consulting  inc.,FCN,149300.0
Exp world holdings inc,EXPI,1106449.0
Lennox international  inc.,LII,90600.0
Canadian imperial bank of commerce (nyse),CM,383528.0
Ansys  inc.,ANSS,73029.0
Agco corp,AGCO,158600.0
Semtech corp,SMTC,333916.0
Jetblue airways corp,JBLU,1545600.0
Cinemark holdings inc,CNK,1334400.0
Sumitomo mitsui financial group inc. adr,SMFG,3652570.0
Dht holdings inc,DHT,3937819.0
Univest financial corp,UVSP,852769.0
Skyworks solutions  inc.,SWKS,170783.0
Exelon corp,EXC,477300.0
Middlesex water co,MSEX,215300.0
Kbr inc,KBR,413500.0
United states lime & minerals  inc.,USLM,194318.0
Ingles markets  inc class a,IMKTA,252858.0
Korn ferry,KFY,346700.0
Extreme networks inc.,EXTR,1839085.0
Reliance steel & aluminum co.,RS,122112.0
Tencent music entertainment group,TME,4596700.0
Knot offshore partners l.p.,KNOP,1321331.0
Sps commerce inc,SPSC,170203.0
Stifel financial corp,SF,327015.0
Heico corp.  class a,HEI.A,174577.0
Towne bank/portsmouth va,TOWN,739182.0
American eagle outfitters inc,AEO,1315263.0
Emcor group  inc.,EME,195500.0
Magnolia oil & gas corp class a,MGY,930900.0
Firstenergy corp.,FE,479667.0
Robert half international  inc.,RHI,191400.0
Ishares 0-5 year tips bond etf,STIP,208200.0
Xperi corp,XPER,1259943.0
Graco inc.,GGG,311400.0
Lincoln national corp.,LNC,332174.0
Jfrog ltd.,FROG,804300.0
Bread financial holdings inc,BFH,384942.0
Jefferies financial group inc. (talcott national - leucadia national),JEF,657289.0
Antero midstream corp,AM,1980382.0
Spdr bloomberg high yield bond etf,JNK,209900.0
Coterra energy inc,CTRA,796770.0
Five below inc,FIVE,135500.0
Pinnacle financial partners inc,PNFP,232496.0
Cutera inc,CUTR,309634.0
Vimeo inc,VMEO,1798000.0
Neophotonics corp,NPTN,1403857.0
Fastly inc,FSLY,1226800.0
Essex property trust  inc.,ESS,61526.0
Partner communications co ltd adr,PTNR,2576850.0
Stratasys ltd,SSYS,833432.0
Qcr holdings inc,QCRH,373600.0
Mohawk industries inc.,MHK,169800.0
Pbf energy inc,PBF,864700.0
Netease inc adr,NTES,234400.0
American public education inc,APEI,988293.0
Aurinia pharmaceuticals inc,AUPH,1694200.0
Great lakes dredge & dock corp.,GLDD,1491201.0
Infosys ltd adr,INFY,838100.0
Ferroglobe plc,GSM,2687794.0
Catchmark timber trust inc,CTT,2521067.0
Johnson outdoors  inc.  class a,JOUT,264900.0
Diamond hill investment group,DHIL,109881.0
Hewlett packard enterprise co,HPE,1229100.0
Skyline champion corp,SKY,373300.0
Sandstorm gold ltd,SAND,2529100.0
Western alliance bancorporation,WAL,245704.0
Pubmatic  inc.,PUBM,776900.0
Liberty braves group series c,BATRK,720619.0
Utah medical products  inc.,UTMD,223714.0
Columbia financial inc,CLBK,932432.0
Hometrust bancshares inc,HTBI,678709.0
Rayonier advanced materials inc,RYAM,3046316.0
Fortive corp,FTV,328300.0
Oasis petroleum inc,OAS,136000.0
Janus henderson group plc,JHG,567400.0
Banco santander chile adr,BSAC,879500.0
Schein (henry) inc.,HSIC,226912.0
Haynes international inc,HAYN,464100.0
Blucora inc,BCOR,1010900.0
Delta air lines inc.,DAL,498300.0
Atn international inc,ATNI,494400.0
W.p. carey inc,WPC,243800.0
Argan inc.,AGX,483299.0
Ziff davis inc,ZD,202500.0
Proassurance corp.,PRA,727500.0
Safe bulkers inc.,SB,4107086.0
Adtran inc,ADTN,1048473.0
Cardiovascular systems inc,CSII,853058.0
3d systems corp.,DDD,1152250.0
Shake shack inc,SHAK,282400.0
Ci financial corp,CIXX,1203100.0
Outfront media inc,OUT,671600.0
Westinghouse air brake technologies corp,WAB,198195.0
Invesco senior loan etf,BKLN,873700.0
Barrett business services inc,BBSI,245400.0
Barclays bank plc sponsored adr,BCS,2405686.0
Ambev s.a. adr,ABEV,5879931.0
Choice hotels international  inc.,CHH,133500.0
Kronos worldwide inc.,KRO,1218400.0
Alpha and omega semiconductor ltd,AOSL,345700.0
Thermo fisher scientific  inc.,TMO,31900.0
Knowles corp.,KN,874374.0
Dolby laboratories,DLB,240502.0
Autozone inc.,AZO,9200.0
Dentsply international inc. (1983),XRAY,381058.0
Wisdomtree dynamic currency hedged international quality dividend grow,RESD,372700.0
Affirm holdings inc,AFRM,404400.0
Hollysys automation technologies ltd,HOLI,1171670.0
Entravision communications corp. class a,EVC,2919095.0
Piper jaffray companies,PIPR,141795.0
Diodes inc.,DIOD,212651.0
Loews corp,L,285200.0
Telefonica brasil s.a.,VIV,1639900.0
Owl rock capital corp,ORCC,1246300.0
Silvercorp metals inc,SVM,5068096.0
Match group inc.,MTCH,168853.0
Interactive brokers group inc,IBKR,277300.0
Equinix inc,EQIX,24570.0
Taseko mines ltd,TGB,7913714.0
Pg&e corp. (pacific gas & electric),PCG,1509900.0
Ford motor co.,F,1060609.0
Vontier corp.,VNT,705300.0
Fox factory holding corp,FOXF,182793.0
Ollies bargain outlet holdings inc,OLLI,416200.0
Under armour inc cl c,UA,1145100.0
Great southern bancorp  inc.,GSBC,301600.0
Guidewire software  inc.,GWRE,187800.0
Tri pointe homes inc (de),TPH,883736.0
Ssga spdr gold shares,GLD,98100.0
Vaneck semiconductor etf,SMH,65625.0
Lithium americas corp,LAC,459200.0
Safety insurance group inc,SAFT,194300.0
Materion corp,MTRN,205507.0
Century aluminum co.,CENX,669199.0
Doximity inc,DOCS,337800.0
Equitrans midstream corp,ETRN,2077599.0
Ishares msci brazil etf,EWZ,463400.0
Arrowhead pharmaceuticals inc,ARWR,380300.0
Signet jewelers ltd,SIG,240500.0
Algonquin power & utilities,AQN,1125992.0
Pgt innovations inc,PGTI,971597.0
Commercial vehicle group inc,CVGI,2067004.0
Nielsen n.v.,NLSN,641000.0
Ardagh metal packaging s.a.,AMBP,2145129.0
Sapiens international corp,SPNS,686491.0
Upwork inc,UPWK,750000.0
Eastgroup properties  inc.,EGP,85700.0
Shenandoah telecommunications co,SHEN,738794.0
Littelfuse inc.,LFUS,69734.0
Sun communities  inc.,SUI,99200.0
Constellation brands  inc.,STZ,75500.0
Artesian resources corp  class a,ARTNA,357411.0
Sinclair broadcast group inc  class a,SBGI,618571.0
Orthofix medical inc.,OFIX,529090.0
Warner music group corp. class a,WMG,456200.0
Sierra wireless inc,SWIR,956300.0
Editas medicine inc,EDIT,903400.0
Childrens place inc,PLCE,348360.0
Peoples united financial  inc.,PBCT,858793.0
Futurefuel corp,FF,1760400.0
Natl research corporation,NRC,431984.0
Rush enterprises  inc. class b,RUSHB,353799.0
Village super market inc.  class a,VLGEA,697600.0
Perrigo co plc,PRGO,444208.0
Umpqua holdings corp.,UMPQ,904978.0
Stitch fix inc,SFIX,1692400.0
Toll brothers  inc.,TOL,362000.0
Columbia banking system  inc.,COLB,527286.0
Companhia de saneamento basico do estado de sao paulo-sabesp ads adr,SBS,1731045.0
First defiance financial corp,PFC,560420.0
West fraser timber co ltd,WFG,206100.0
Anika therapeutics inc.,ANIK,676217.0
Global ship lease inc,GSL,595252.0
Viatris inc,VTRS,1557666.0
