Stock,Symbol,Shares Held
Gold fields ltd adr,GFI,7350784.0
Morningstar inc,MORN,415570.0
Usana health sciences inc.,USNA,1424263.0
Schlumberger ltd.,SLB,2736004.0
Docusign inc,DOCU,1042900.0
Tyson foods  inc.,TSN,1242457.0
Grupo aeroportuario del pacifico  s.a.b de c.v. adr,PAC,690400.0
Baxter international inc.,BAX,1434000.0
China petroleum & chemical corp. sponsored adr,SNP,2213544.0
Nova measuring instruments ltd,NVMI,999786.0
Workiva inc,WK,917700.0
General electric co,GE,1179957.0
Norfolk southern corp.,NSC,377500.0
Colliers international group inc,CIGI,821800.0
Dr. reddys laboratories ltd adr,RDY,1912238.0
Bio-rad laboratories inc class a,BIO,187800.0
Philippine long distance telephone co adr,PHI,2999461.0
Snap inc class a,SNAP,2913800.0
Murphy usa inc,MUSA,523400.0
Illumina inc,ILMN,298318.0
Twitter inc,TWTR,2683196.0
General motors co,GM,2368500.0
Costco co.,COST,179500.0
Nokia corp. adr class a adr,NOK,18786680.0
Expeditors international of washington inc,EXPD,990616.0
Yamana gold inc.,AUY,18245781.0
Xylem inc,XYL,1183400.0
Innoviva inc,INVA,5213633.0
Sanderson farms  inc.,SAFM,536618.0
Vector group ltd. (liggett group inc. - brooke group ltd.),VGR,8355263.0
Shaw communications inc class b,SJR,3230639.0
Laboratory corp of america holdings,LH,380005.0
Chubb limited,CB,468399.0
Hologic inc.,HOLX,1300461.0
Simon property group  inc.,SPG,756005.0
Nomad foods ltd,NOMD,4380779.0
Te connectivity ltd,TEL,754745.0
Trane technologies plc,TT,642268.0
Ryanair holdings adr,RYAAY,1124851.0
Camden property trust,CPT,587800.0
Hsbc holdings plc adr,HSBC,2805243.0
Premier inc,PINC,2677389.0
Marriott international inc/md,MAR,530416.0
Nasdaq inc,NDAQ,519600.0
Macys inc,M,3796764.0
Papa johns international inc.,PZZA,878168.0
Amgen  inc.,AMGN,379545.0
Illinois tool works inc,ITW,436800.0
Telus corp. non-voting shares,TU,3490166.0
Corning inc.,GLW,2441600.0
Mp materials corp,MP,1568700.0
Blackstone group inc,BX,708200.0
Valvoline inc,VVV,2838824.0
Public service enterprise group inc,PEG,1247000.0
Coca-cola femsa  s.a.b. de c.v. adr,KOF,1584905.0
Crowdstrike holdings inc,CRWD,382200.0
Walgreens boots alliance inc.,WBA,1910000.0
Shutterstock inc,SSTK,909501.0
Bath & body works inc (l brands),BBWI,1765333.0
Asml holding nv (adr),ASML,125525.0
V.f. corp. (vanity fair mills inc.),VFC,1473900.0
Pinduoduo inc,PDD,2087700.0
At&t inc. (southwestern bell - sbc corp.),T,4689457.06
Mid-america apartment communities  inc.,MAA,398749.0
Ringcentral inc,RNG,712400.0
Old dominion freight line inc,ODFL,277741.0
Liberty global plc class a,LBTYA,3250852.0
Eog resources inc,EOG,681800.0
Rio tinto plc (nyse) adr,RIO,1008100.0
Bp plc adr (british petroleum),BP,2730769.0
Tfs financial corp,TFSL,4815802.0
Crown castle international corp,CCI,430898.0
Copart inc.,CPRT,631744.0
Extra space storage  inc.,EXR,385000.0
Booking holdings inc. (priceline),BKNG,33699.0
Warrior met coal inc,HCC,2125379.0
Zebra technologies corp,ZBRA,190131.0
Cvs health corp. (melville shoe),CVS,774819.0
Aon plc,AON,240700.0
Tenaris sa ads adr,TS,2602828.0
Celanese corp,CE,547800.0
Teledyne technologies  inc.,TDY,165227.0
First solar inc,FSLR,931000.0
Royal gold inc,RGLD,550242.0
Casella waste systems inc,CWST,883801.0
Alamos gold inc,AGI,9177531.0
Independence realty trust inc,IRT,2896641.0
Star bulk carriers corp,SBLK,2576600.0
Penn national gaming inc.,PENN,1789038.0
Progressive corp.,PGR,663600.0
The trade desk inc class a,TTD,1082400.0
Antero resources corp,AR,2450300.0
Mercury general corp.,MCY,1359400.0
Bunge ltd. adr,BG,673600.0
Monolithic power systems inc,MPWR,153526.0
Dow inc,DOW,1166500.0
Conagra brands inc,CAG,2208499.0
Doordash  inc.,DASH,630200.0
U.s. silica holdings  inc.,SLCA,3957008.0
Marsh & mclennan companies  inc.,MMC,432101.0
Yum! brands  inc. (tricon global restaurants),YUM,617400.0
Electronic arts  inc.,EA,578064.0
Sturm  ruger & co.  inc.,RGR,1040776.0
Liberty global plc class c,LBTYK,2795520.0
Western digital corp,WDC,1451033.0
Occidental petroleum corp.,OXY,1267384.0
Modivcare inc,MODV,612299.0
Workday inc,WDAY,293771.0
Netapp inc.,NTAP,847022.0
Kinder morgan inc. (de),KMI,3700131.0
Okta inc,OKTA,458700.0
Halliburton co.,HAL,1818661.0
Wns (holdings) ltd adr,WNS,804000.0
S&p global inc. (mcgraw-hill inc.),SPGI,167022.0
Church & dwight co.  inc.,CHD,686453.0
Fomento economico mexicano s.a.b. de cv adr,FMX,820400.0
Dell technologies inc,DELL,1350877.0
Brookfield renewable corporation class a,BEPC,1541541.0
Owens & minor  inc (holding co.),OMI,1529950.0
Radware ltd.,RDWR,2068839.0
Cme group inc,CME,276589.0
Cal-maine foods inc,CALM,1182999.0
Chemed corporation,CHE,128500.0
Lennar corp. class a,LEN,800233.0
Uipath inc,PATH,2985730.0
Johnson controls international plc (tyco laboratories),JCI,967444.0
Otis worldwide corp,OTIS,823694.0
American electric power company inc,AEP,634000.0
Asana  inc.,ASAN,1577500.0
Csg systems international inc.,CSGS,985494.0
Medpace holdings inc,MEDP,380088.0
Calix inc,CALX,1447718.0
Paycom software inc,PAYC,177317.0
Synchrony financial,SYF,1757300.0
Digital realty trust  inc.,DLR,427683.0
Iamgold corp,IAG,17418600.0
Ambarella inc,AMBA,571100.0
Chesapeake energy corp,CHK,688120.0
Lyondellbasell industries nv,LYB,580900.0
Grupo televisa s.a. gdr,TV,5051857.0
Brady corp. class a,BRC,1276240.0
Hello group inc adr,MOMO,10199498.0
Progress software corp.,PRGS,1249781.0
Brookdale senior living inc.,BKD,8286002.0
Lancaster colony corp.,LANC,391363.0
Ametek inc.,AME,437150.0
Cms energy corp. (consumers power co.),CMS,831549.0
Service corp. international  inc.,SCI,882100.0
America movil s.a.b. de c.v. ads,AMX,2739475.0
Techtarget inc,TTGT,707600.0
Under armour inc,UAA,3378405.0
Royal bank of canada (nyse),RY,520293.0
Dollar tree inc.,DLTR,358103.0
Six flags entertainment corp.,SIX,1317100.0
Relx plc adr,RELX,1841500.0
Cadence design systems  inc.,CDNS,347100.0
Willis towers watson public limited co,WTW,240167.0
New york community bancorp,NYCB,5284225.0
Now inc,DNOW,5126979.0
Amn healthcare services inc,AMN,540800.0
Ceridian hcm holding inc,CDAY,822000.0
Peabody energy corp,BTU,2285243.0
Kearny financial corp,KRNY,4335785.0
Equinor asa,EQNR,1488123.0
Conocophillips (phillips petroleum),COP,555408.0
Mobile telesystems ojsc ads adr,MBT,20168324.0
Aflac inc.,AFL,859400.0
Adobe systems  inc.,ADBE,121433.0
Capitol federal financial inc,CFFN,5055137.0
T. rowe price group,TROW,363700.0
C3ai  inc.,AI,2412200.0
Keysight technologies inc,KEYS,346600.0
Pan american silver corp,PAAS,2002804.0
Ssr mining,SSRM,2509143.0
Arcelormittal s.a.  sponsored adr,MT,1702671.0
Titan international  inc.,TWI,3699440.0
Hartford financial services group,HIG,757100.0
Baidu inc adr,BIDU,409900.0
Nordstrom inc.,JWN,1988500.0
Evertec  inc.,EVTC,1310526.0
Costar group inc,CSGP,803780.0
Eldorado gold corp,EGO,4764869.0
Perdoceo education corp. (career education),PRDO,4649669.0
Olin corp. (mathieson chemical),OLN,1015700.0
Nvr inc,NVR,11870.0
Robinhood markets inc,HOOD,3922000.0
Zoominfo technologies inc.,ZI,886200.0
Invs real estate trust,CSR,538332.0
Trex company,TREX,804800.0
Geopark ltd,GPRK,3490431.0
Manulife financial corp,MFC,2439424.0
Gamestop corp.  class a,GME,306912.0
Open text corp.,OTEX,1201716.0
